"class","odor","gill.color","stalk.root","stalk.color.above.ring","stalk.color.below.ring","ring.number","ring.type","spore.print.color","population","habitat"
"1123","e","n","p","e","w","w","o","e","n","s","g"
"690","e","a","k","c","w","w","o","p","k","s","g"
"2983","e","n","u","b","g","w","o","p","n","v","d"
"1042","e","a","n","r","w","w","o","p","k","s","p"
"3370","e","n","w","b","p","g","o","p","k","y","d"
"2407","e","n","w","b","g","w","o","p","n","y","d"
"3723","e","n","p","b","p","w","o","p","n","y","d"
"3100","e","n","u","b","g","g","o","p","n","y","d"
"2651","e","n","n","b","p","g","o","p","n","y","d"
"1234","e","n","p","e","w","w","o","e","n","a","g"
"7808","e","n","n","?","o","o","o","p","b","c","l"
"5099","e","n","e","?","w","w","t","e","w","c","w"
"2498","e","n","w","b","g","w","o","p","k","y","d"
"2910","e","n","p","b","w","p","o","p","n","y","d"
"7632","e","n","w","?","w","w","t","p","w","s","g"
"1912","e","n","u","b","g","g","o","p","k","v","d"
"2885","e","n","u","b","p","p","o","p","k","v","d"
"3456","e","n","p","b","g","w","o","p","k","y","d"
"1115","e","l","p","r","w","w","o","p","k","s","g"
"5629","e","n","e","?","w","e","t","e","w","c","w"
"529","e","n","k","e","w","w","o","p","k","y","u"
"5979","e","n","w","b","w","n","o","e","w","v","l"
"705","e","l","p","r","w","w","o","p","n","s","p"
"641","e","l","w","c","w","w","o","p","k","n","m"
"7034","e","n","o","?","o","o","o","p","n","c","l"
"5285","e","n","w","?","w","w","o","f","h","v","d"
"1594","e","n","n","e","w","w","o","e","n","a","g"
"7818","e","n","w","?","w","w","t","p","w","n","g"
"152","e","n","p","e","w","w","o","e","n","a","g"
"4832","e","n","e","?","w","w","t","e","w","c","w"
"1135","e","a","g","c","w","w","o","p","k","n","g"
"7480","e","n","w","?","w","w","t","p","w","s","g"
"336","e","n","p","b","p","w","o","p","k","y","d"
"2078","e","n","w","b","w","w","o","p","n","y","d"
"291","e","n","g","e","w","w","o","p","k","y","u"
"95","e","n","n","e","w","w","o","e","n","a","g"
"3840","e","n","p","b","w","g","o","p","k","y","d"
"3049","e","n","p","b","p","w","o","p","k","y","d"
"1005","e","l","p","r","w","w","o","p","n","y","g"
"7212","e","n","g","?","w","w","t","p","w","n","g"
"624","e","a","n","r","w","w","o","p","k","s","p"
"4460","e","n","e","?","e","e","t","e","w","c","w"
"1317","e","n","k","e","w","w","o","e","n","s","g"
"1069","e","n","u","b","g","g","o","p","k","v","d"
"2433","e","n","w","b","w","g","o","p","n","y","d"
"1419","e","n","h","e","w","w","o","e","n","s","g"
"675","e","l","w","r","w","w","o","p","n","s","p"
"3216","e","n","u","b","w","p","o","p","n","v","d"
"4284","e","n","e","?","w","w","t","e","w","c","w"
"1302","e","n","k","e","w","w","o","e","k","a","g"
"3298","e","n","n","b","w","w","o","p","k","v","d"
"1758","e","n","n","e","w","w","o","e","k","s","g"
"1060","e","n","h","e","w","w","o","e","n","s","g"
"7674","e","n","w","b","w","w","t","p","w","v","p"
"2569","e","n","p","b","g","g","o","p","n","v","d"
"1576","e","n","k","e","w","w","o","e","k","a","g"
"3007","e","n","u","b","g","p","o","p","n","v","d"
"1894","e","n","n","e","w","w","o","e","n","a","g"
"660","e","n","k","e","w","w","o","p","n","y","u"
"480","e","l","n","c","w","w","o","p","k","s","m"
"849","e","l","k","c","w","w","o","p","n","n","m"
"3917","e","n","n","b","w","p","o","p","n","v","d"
"1985","e","n","u","b","p","g","o","p","n","v","d"
"7468","e","n","o","?","o","o","o","p","o","c","l"
"2599","e","n","n","b","p","p","o","p","n","y","d"
"2235","e","n","p","b","p","g","o","p","k","v","d"
"636","e","a","w","c","w","w","o","p","n","s","m"
"2223","e","n","n","b","w","w","o","p","n","v","d"
"365","e","a","w","c","w","w","o","p","k","n","g"
"7623","e","n","g","?","w","w","t","p","w","n","g"
"2816","e","n","w","b","g","p","o","p","n","v","d"
"2779","e","n","n","b","g","p","o","p","n","v","d"
"2161","e","n","u","b","w","g","o","p","k","y","d"
"3588","e","n","p","b","p","p","o","p","k","y","d"
"2976","e","n","u","b","p","p","o","p","k","y","d"
"2456","e","n","p","b","p","p","o","p","k","v","d"
"119","e","l","p","b","w","w","o","p","u","v","d"
"241","e","a","w","r","w","w","o","p","k","y","p"
"662","e","l","k","c","w","w","o","p","k","s","m"
"182","e","n","g","e","w","w","o","p","n","y","u"
"3681","e","n","n","b","p","p","o","p","k","y","d"
"2862","e","n","w","b","p","p","o","p","k","v","d"
"2436","e","n","u","b","p","g","o","p","n","y","d"
"488","e","n","p","e","w","w","o","p","n","y","u"
"204","e","n","h","e","w","w","o","e","k","s","g"
"185","e","a","p","r","w","w","o","p","k","s","p"
"52","e","l","k","c","w","w","o","p","k","s","g"
"5732","e","n","e","?","e","w","t","e","w","c","w"
"5587","e","n","h","?","w","w","o","f","h","y","d"
"7055","e","n","o","?","o","o","o","p","o","v","l"
"896","e","l","p","r","w","w","o","p","n","s","g"
"5954","e","n","e","?","e","e","t","e","w","c","w"
"4940","e","n","w","?","e","w","t","e","w","c","w"
"528","e","a","k","c","w","w","o","p","n","s","m"
"4735","e","n","w","b","w","w","o","p","k","y","d"
"665","e","l","g","c","w","w","o","p","n","s","g"
"3779","e","n","w","b","p","p","o","p","n","v","d"
"7675","e","n","n","?","o","o","o","p","n","v","l"
"5194","e","n","w","?","e","w","t","e","w","c","w"
"1655","e","n","p","e","w","w","o","e","k","s","g"
"540","e","a","p","b","w","w","o","p","u","v","d"
"7548","e","n","y","?","o","o","o","p","n","v","l"
"1015","e","n","h","e","w","w","o","e","k","s","g"
"242","e","l","w","c","w","w","o","p","k","s","g"
"602","e","l","w","r","w","w","o","p","n","y","g"
"7544","e","n","n","?","o","o","o","p","b","v","l"
"1038","e","a","n","b","w","w","o","p","n","v","d"
"2620","e","n","p","b","g","g","o","p","k","y","d"
"2104","e","n","p","b","p","g","o","p","n","y","d"
"1319","e","l","n","c","w","w","o","p","k","s","m"
"1955","e","n","p","b","p","g","o","p","k","v","d"
"7117","e","n","w","b","w","w","t","p","w","v","p"
"2162","e","n","p","b","g","w","o","p","n","y","d"
"1239","e","n","h","e","w","w","o","e","n","s","g"
"3691","e","n","n","b","w","w","o","p","n","v","d"
"283","e","n","p","e","w","w","o","p","n","v","u"
"2245","e","n","n","b","p","g","o","p","k","v","d"
"7542","e","n","g","?","w","w","t","p","w","s","g"
"586","e","a","k","c","w","w","o","p","n","s","m"
"317","e","a","w","b","w","w","o","p","n","v","d"
"7006","e","n","p","?","w","w","t","p","w","s","g"
"999","e","l","w","c","w","w","o","p","n","n","m"
"969","e","n","k","e","w","w","o","e","k","s","g"
"3036","e","n","w","b","g","p","o","p","n","y","d"
"2759","e","n","p","b","p","w","o","p","k","y","d"
"3603","e","n","p","b","p","w","o","p","k","y","d"
"2314","e","n","u","b","p","p","o","p","n","v","d"
"592","e","n","h","e","w","w","o","e","k","s","g"
"1664","e","l","n","c","w","w","o","p","k","n","g"
"8052","e","n","w","?","w","w","t","p","w","s","g"
"7845","e","n","y","?","o","o","o","p","b","v","l"
"4843","e","n","n","b","w","p","o","p","n","y","d"
"1840","e","n","n","e","w","w","o","e","k","s","g"
"648","e","l","k","c","w","w","o","p","k","n","m"
"6942","e","n","w","b","w","w","t","p","w","v","p"
"3579","e","n","n","b","g","p","o","p","n","v","d"
"330","e","a","g","c","w","w","o","p","k","n","g"
"3291","e","n","p","b","g","w","o","p","k","y","d"
"7111","e","n","w","?","w","w","t","p","w","n","g"
"341","e","a","k","c","w","w","o","p","n","s","g"
"1847","e","n","h","e","w","w","o","e","n","a","g"
"7012","e","n","g","?","w","w","t","p","w","s","g"
"4789","e","n","n","b","p","w","o","p","n","v","d"
"4861","e","n","w","?","e","w","t","e","w","c","w"
"3786","e","n","n","b","g","g","o","p","n","v","d"
"6938","e","n","p","?","w","w","t","p","w","s","g"
"2194","e","n","u","b","p","g","o","p","k","y","d"
"126","e","n","n","e","w","w","o","e","k","s","g"
"3135","e","n","u","b","w","p","o","p","k","y","d"
"2876","e","n","w","b","w","p","o","p","n","y","d"
"1753","e","n","h","e","w","w","o","e","n","s","g"
"865","e","a","w","c","w","w","o","p","n","s","m"
"2109","e","n","w","b","p","w","o","p","k","v","d"
"3569","e","n","u","b","g","w","o","p","n","v","d"
"2347","e","n","h","e","w","w","o","e","n","s","g"
"2503","e","n","w","b","p","p","o","p","k","v","d"
"1014","e","n","n","e","w","w","o","e","k","s","g"
"2188","e","n","n","b","p","w","o","p","k","y","d"
"194","e","a","w","b","w","w","o","p","n","v","d"
"51","e","a","w","r","w","w","o","p","k","s","g"
"900","e","l","n","c","w","w","o","p","k","s","g"
"243","e","a","w","c","w","w","o","p","n","n","m"
"2011","e","n","k","e","w","w","o","e","n","a","g"
"1491","e","n","p","e","w","w","o","e","k","s","g"
"2363","e","n","u","b","g","p","o","p","k","y","d"
"2189","e","n","w","b","g","p","o","p","k","v","d"
"2722","e","n","n","b","g","p","o","p","n","y","d"
"1361","e","n","p","e","w","w","o","e","n","a","g"
"7218","e","n","g","?","w","w","t","p","w","n","g"
"2786","e","n","n","b","g","w","o","p","k","y","d"
"7642","e","n","p","?","w","w","t","p","w","s","g"
"1170","e","a","g","c","w","w","o","p","n","n","m"
"3821","e","n","u","b","w","w","o","p","k","v","d"
"7551","e","n","g","?","w","w","t","p","w","s","g"
"3343","e","n","u","b","g","g","o","p","k","v","d"
"651","e","a","n","c","w","w","o","p","k","s","g"
"77","e","l","n","b","w","w","o","p","u","v","d"
"7778","e","n","g","?","w","w","t","p","w","s","g"
"1911","e","n","p","b","g","w","o","p","k","v","d"
"463","e","a","g","c","w","w","o","p","k","s","g"
"8001","e","n","n","?","o","o","o","p","n","c","l"
"3345","e","n","n","b","p","p","o","p","n","v","d"
"1223","e","n","k","e","w","w","o","e","n","a","g"
"2364","e","n","n","b","w","p","o","p","k","y","d"
"6850","e","n","n","?","o","o","o","p","o","c","l"
"5545","e","n","w","?","w","w","t","e","w","c","w"
"3217","e","n","w","b","g","g","o","p","k","v","d"
"2518","e","n","w","b","g","p","o","p","k","y","d"
"3944","e","n","p","b","w","g","o","p","n","y","d"
"2271","e","n","n","b","p","w","o","p","n","v","d"
"1429","e","l","n","r","w","w","o","p","k","s","p"
"2740","e","n","u","b","p","w","o","p","k","y","d"
"640","e","a","g","c","w","w","o","p","k","s","m"
"604","e","l","n","r","w","w","o","p","n","s","p"
"2229","e","n","p","b","g","g","o","p","k","y","d"
"2807","e","n","n","b","p","p","o","p","k","y","d"
"1049","e","n","p","b","g","w","o","p","k","v","d"
"5850","e","n","w","?","e","e","t","e","w","c","w"
"3496","e","n","w","b","w","w","o","p","n","v","d"
"578","e","l","n","c","w","w","o","p","n","s","g"
"451","e","l","k","c","w","w","o","p","n","s","m"
"5176","e","n","w","?","w","w","t","e","w","c","w"
"797","e","l","n","c","w","w","o","p","k","n","g"
"7362","e","n","w","?","w","w","t","p","w","s","g"
"2945","e","n","u","b","w","g","o","p","k","v","d"
"3214","e","n","n","b","p","p","o","p","n","v","d"
"2832","e","n","u","b","p","p","o","p","k","y","d"
"475","e","l","n","b","w","w","o","p","n","v","d"
"868","e","l","p","r","w","w","o","p","n","y","p"
"1097","e","n","p","e","w","w","o","e","k","a","g"
"231","e","n","n","e","w","w","o","p","k","y","u"
"5516","e","n","h","?","w","w","o","f","h","y","d"
"3724","e","n","w","b","g","w","o","p","k","v","d"
"1393","e","n","h","e","w","w","o","e","k","a","g"
"2802","e","n","h","e","w","w","o","e","n","s","g"
"6999","e","n","w","?","w","w","t","p","w","s","g"
"2371","e","n","w","b","p","w","o","p","k","y","d"
"2396","e","n","u","b","g","w","o","p","k","y","d"
"1568","e","n","h","e","w","w","o","e","n","a","g"
"668","e","l","p","r","w","w","o","p","n","y","g"
"347","e","l","n","b","w","w","o","p","n","v","d"
"2453","e","n","k","e","w","w","o","e","n","a","g"
"2618","e","n","u","b","g","w","o","p","n","y","d"
"1644","e","n","p","e","w","w","o","e","k","a","g"
"794","e","a","n","c","w","w","o","p","n","n","g"
"3806","e","n","u","b","p","p","o","p","k","y","d"
"1653","e","n","h","e","w","w","o","e","k","s","g"
"2096","e","n","p","b","g","w","o","p","k","y","d"
"1993","e","n","h","e","w","w","o","e","n","a","g"
"5631","e","n","w","b","w","n","o","e","w","v","l"
"4931","e","n","w","b","w","n","o","e","w","v","l"
"2425","e","n","u","b","w","w","o","p","n","y","d"
"3415","e","n","w","b","g","w","o","p","n","y","d"
"3517","e","n","u","b","p","w","o","p","k","v","d"
"530","e","a","w","r","w","w","o","p","n","y","p"
"1162","e","n","n","e","w","w","o","e","k","s","g"
"538","e","n","p","e","w","w","o","p","k","v","u"
"2576","e","n","n","b","w","w","o","p","k","y","d"
"808","e","a","p","r","w","w","o","p","k","y","g"
"2067","e","n","p","b","p","p","o","p","n","v","d"
"5563","e","n","e","?","w","w","t","e","w","c","w"
"2604","e","n","w","b","p","w","o","p","k","y","d"
"1355","e","n","p","e","w","w","o","e","k","a","g"
"1651","e","n","p","e","w","w","o","e","n","a","g"
"1274","e","n","k","e","w","w","o","e","n","a","g"
"2965","e","n","u","b","p","w","o","p","k","y","d"
"7010","e","n","g","?","w","w","t","p","w","s","g"
"7605","e","n","p","?","w","w","t","p","w","s","g"
"2508","e","n","w","b","w","p","o","p","k","y","d"
"3124","e","n","n","b","w","g","o","p","k","v","d"
"3471","e","n","u","b","g","p","o","p","n","y","d"
"3371","e","n","w","b","w","g","o","p","k","v","d"
"995","e","n","k","e","w","w","o","e","k","s","g"
"5950","e","n","w","b","w","n","o","e","w","v","l"
"408","e","a","g","c","w","w","o","p","n","s","m"
"1593","e","n","p","e","w","w","o","e","k","s","g"
"467","e","a","g","c","w","w","o","p","k","n","m"
"2247","e","n","p","b","g","p","o","p","n","v","d"
"3248","e","n","u","b","w","g","o","p","n","v","d"
"3799","e","n","u","b","w","g","o","p","n","v","d"
"1341","e","n","n","e","w","w","o","e","k","a","g"
"234","e","n","k","e","w","w","o","p","k","v","u"
"7183","e","n","n","?","o","o","o","p","n","c","l"
"1695","e","n","n","e","w","w","o","e","n","a","g"
"1271","e","n","n","e","w","w","o","e","k","s","g"
"1711","e","n","p","e","w","w","o","e","k","a","g"
"2923","e","n","u","b","p","w","o","p","k","y","d"
"2603","e","n","n","b","p","g","o","p","k","v","d"
"3486","e","n","w","b","p","w","o","p","k","v","d"
"486","e","a","p","r","w","w","o","p","k","y","g"
"2716","e","n","p","b","g","w","o","p","k","y","d"
"2830","e","n","p","b","w","p","o","p","n","y","d"
"1109","e","l","k","c","w","w","o","p","n","n","g"
"284","e","l","k","c","w","w","o","p","k","s","m"
"3962","e","n","w","b","p","p","o","p","k","v","d"
"5817","e","n","e","?","w","e","t","e","w","c","w"
"1495","e","n","n","e","w","w","o","e","k","a","g"
"680","e","a","g","c","w","w","o","p","k","s","m"
"2793","e","n","u","b","w","w","o","p","n","v","d"
"3513","e","n","w","b","w","p","o","p","n","y","d"
"2409","e","n","w","b","g","w","o","p","k","y","d"
"3399","e","n","n","b","g","p","o","p","n","v","d"
"1366","e","n","p","e","w","w","o","e","n","s","g"
"162","e","a","n","c","w","w","o","p","k","n","g"
"3409","e","n","n","b","g","w","o","p","n","y","d"
"2034","e","n","p","b","g","g","o","p","k","y","d"
"5072","e","n","e","?","w","w","t","e","w","c","w"
"425","e","l","n","c","w","w","o","p","n","n","m"
"3616","e","n","n","b","w","w","o","p","k","y","d"
"693","e","a","p","r","w","w","o","p","n","s","p"
"310","e","n","n","e","w","w","o","e","n","s","g"
"4932","e","n","e","?","e","e","t","e","w","c","w"
"3368","e","n","w","b","w","g","o","p","k","v","d"
"2049","e","n","p","b","w","g","o","p","k","v","d"
"3068","e","n","p","b","w","g","o","p","k","y","d"
"3696","e","n","w","b","g","w","o","p","n","y","d"
"159","e","a","n","c","w","w","o","p","k","s","m"
"2669","e","n","w","b","g","g","o","p","n","y","d"
"1394","e","n","p","e","w","w","o","e","k","s","g"
"5435","e","n","w","b","w","n","o","e","w","v","l"
"3029","e","n","p","b","w","p","o","p","n","y","d"
"510","e","n","p","e","w","w","o","p","n","v","u"
"1919","e","n","k","e","w","w","o","e","k","s","g"
"810","e","l","p","b","w","w","o","p","n","v","d"
"8058","e","n","o","?","o","o","o","p","o","v","l"
"7737","e","n","p","?","w","w","t","p","w","n","g"
"2231","e","n","p","b","p","w","o","p","n","v","d"
"2972","e","n","u","b","p","p","o","p","k","v","d"
"1970","e","n","h","e","w","w","o","e","k","s","g"
"7144","e","n","p","?","w","w","t","p","w","n","g"
"2204","e","n","p","b","g","g","o","p","k","y","d"
"2107","e","n","p","b","w","w","o","p","n","v","d"
"5600","e","n","w","?","w","w","o","f","h","y","d"
"3054","e","n","w","b","w","g","o","p","n","v","d"
"952","e","l","n","c","w","w","o","p","k","s","g"
"1861","e","n","u","b","g","g","o","p","n","y","d"
"548","e","n","g","e","w","w","o","p","n","v","u"
"2697","e","n","p","b","g","p","o","p","k","y","d"
"2707","e","n","u","b","g","w","o","p","n","y","d"
"2406","e","n","w","b","w","w","o","p","n","v","d"
"2354","e","n","w","b","w","w","o","p","k","y","d"
"3137","e","n","p","b","g","w","o","p","k","v","d"
"8078","e","n","o","?","o","o","o","p","o","v","l"
"905","e","l","w","c","w","w","o","p","n","n","m"
"5493","e","n","e","?","e","w","t","e","w","c","w"
"4078","e","n","u","b","p","w","o","p","n","y","d"
"1954","e","n","u","b","p","w","o","p","n","v","d"
"1905","e","n","k","e","w","w","o","e","n","s","g"
"2806","e","n","w","b","w","p","o","p","k","y","d"
"2487","e","n","u","b","p","g","o","p","k","v","d"
"166","e","l","w","r","w","w","o","p","n","y","p"
"5774","e","n","p","?","w","w","o","f","h","y","d"
"7941","e","n","w","b","w","w","t","p","w","y","p"
"2497","e","n","u","b","w","w","o","p","n","y","d"
"388","e","n","n","e","w","w","o","e","k","a","g"
"3677","e","n","p","b","p","g","o","p","n","y","d"
"7491","e","n","n","?","o","o","o","p","y","c","l"
"163","e","n","k","e","w","w","o","p","n","y","u"
"8103","e","n","y","?","o","o","o","p","n","c","l"
"7561","e","n","w","?","w","w","t","p","w","n","g"
"138","e","a","n","c","w","w","o","p","n","s","g"
"4114","e","n","u","b","p","w","o","p","n","v","d"
"5765","e","n","u","?","w","w","o","f","h","y","d"
"7666","e","n","y","?","o","o","o","p","n","v","l"
"398","e","l","w","c","w","w","o","p","n","s","m"
"4055","e","n","p","b","g","g","o","p","k","v","d"
"2466","e","n","p","b","g","g","o","p","k","v","d"
"7355","e","n","g","?","w","w","t","p","w","n","g"
"1930","e","n","p","e","w","w","o","e","k","s","g"
"1686","e","n","h","e","w","w","o","e","k","s","g"
"75","e","a","k","c","w","w","o","p","k","s","g"
"5824","e","n","w","?","e","e","t","e","w","c","w"
"3276","e","n","w","b","g","w","o","p","k","y","d"
"840","e","a","w","c","w","w","o","p","k","s","g"
"3837","e","n","u","b","g","g","o","p","n","v","d"
"1468","e","a","p","b","w","w","o","p","u","v","d"
"1230","e","n","w","b","p","g","o","p","k","y","d"
"1245","e","n","k","e","w","w","o","e","n","s","g"
"3938","e","n","u","b","g","g","o","p","k","v","d"
"374","e","n","n","e","w","w","o","p","n","y","u"
"3527","e","n","p","b","g","g","o","p","n","y","d"
"1339","e","a","n","c","w","w","o","p","n","n","g"
"17","e","n","k","e","w","w","o","e","n","a","g"
"708","e","n","p","e","w","w","o","p","k","y","u"
"1145","e","n","n","e","w","w","o","e","n","a","g"
"2858","e","n","p","b","p","w","o","p","k","v","d"
"53","e","l","k","c","w","w","o","p","n","n","m"
"7920","e","n","w","b","w","w","t","p","w","v","p"
"1824","e","n","p","b","p","g","o","p","n","y","d"
"2878","e","n","w","b","w","p","o","p","n","y","d"
"862","e","a","w","c","w","w","o","p","n","s","g"
"2195","e","n","p","b","p","g","o","p","k","y","d"
"2659","e","n","w","b","p","w","o","p","k","v","d"
"1253","e","n","k","e","w","w","o","e","n","a","g"
"8030","e","n","g","?","w","w","t","p","w","n","g"
"2591","e","n","p","b","g","p","o","p","k","y","d"
"817","e","a","p","r","w","w","o","p","k","y","g"
"832","e","a","w","b","w","w","o","p","n","v","d"
"844","e","n","n","e","w","w","o","p","k","y","u"
"1122","e","n","k","e","w","w","o","e","k","a","g"
"8075","e","n","w","?","w","w","t","p","w","n","g"
"2358","e","n","p","b","p","g","o","p","n","y","d"
"2693","e","n","w","b","w","p","o","p","n","v","d"
"975","e","n","u","b","p","w","o","p","k","y","d"
"2747","e","n","n","b","p","g","o","p","k","v","d"
"7201","e","n","w","?","w","w","t","p","w","n","g"
"2359","e","n","n","b","p","w","o","p","k","y","d"
"1885","e","n","w","b","g","p","o","p","k","v","d"
"3039","e","n","p","b","g","p","o","p","k","y","d"
"1598","e","n","p","e","w","w","o","e","k","a","g"
"3184","e","n","w","b","g","w","o","p","n","y","d"
"7665","e","n","o","?","o","o","o","p","y","c","l"
"3258","e","n","u","b","g","p","o","p","k","v","d"
"4128","e","n","p","b","p","p","o","p","k","y","d"
"3156","e","n","u","b","w","w","o","p","k","y","d"
"3900","e","n","n","b","w","w","o","p","n","y","d"
"3819","e","n","n","b","w","w","o","p","k","v","d"
"2452","e","n","w","b","p","p","o","p","n","y","d"
"7277","e","n","w","?","w","w","t","p","w","s","g"
