"class","odor","gill.color","stalk.root","stalk.color.above.ring","stalk.color.below.ring","ring.number","ring.type","spore.print.color","population","habitat"
"215","e","a","n","r","w","w","o","p","n","s","g"
"6596","p","s","b","?","w","p","o","e","w","v","l"
"6522","p","y","b","?","p","w","o","e","w","v","p"
"4006","p","f","h","b","b","p","o","l","h","y","d"
"7558","p","f","b","?","p","p","o","e","w","v","d"
"5508","p","y","b","?","p","p","o","e","w","v","l"
"6862","p","y","b","?","p","p","o","e","w","v","l"
"5868","p","n","g","b","w","w","t","p","r","v","g"
"6269","p","s","b","?","w","w","o","e","w","v","p"
"5155","p","n","w","?","w","y","o","e","w","v","d"
"5726","p","f","p","b","w","w","o","p","h","s","g"
"4686","p","f","h","b","b","n","o","l","h","y","p"
"4937","p","f","p","b","b","n","o","l","h","v","p"
"7132","p","y","b","?","w","w","o","e","w","v","d"
"6994","p","y","b","?","p","p","o","e","w","v","d"
"300","p","p","p","e","w","w","o","p","k","s","g"
"7752","p","s","b","?","w","p","o","e","w","v","d"
"6242","p","f","b","?","p","p","o","e","w","v","d"
"6302","p","y","b","?","p","p","o","e","w","v","p"
"3573","p","f","g","b","p","n","o","l","h","y","p"
"7176","p","s","b","?","w","w","o","e","w","v","l"
"1435","p","p","p","e","w","w","o","p","n","s","u"
"5578","p","n","g","b","w","w","t","p","r","v","g"
"6894","p","s","b","?","p","w","o","e","w","v","d"
"7531","p","s","b","?","w","p","o","e","w","v","d"
"7768","p","f","b","?","p","p","o","e","w","v","d"
"5082","p","f","g","b","n","b","o","l","h","v","d"
"5573","p","f","g","b","b","b","o","l","h","v","d"
"4307","p","f","h","b","p","b","o","l","h","y","d"
"3174","p","f","p","b","n","n","o","l","h","v","p"
"6924","p","f","b","?","w","w","o","e","w","v","l"
"5389","p","f","w","b","w","w","o","p","h","v","u"
"5374","p","f","p","b","w","w","o","p","h","s","g"
"7806","p","m","w","c","c","c","n","n","w","c","d"
"4437","p","f","h","b","b","n","o","l","h","v","d"
"3714","p","f","h","b","b","n","o","l","h","y","d"
"6473","p","s","b","?","w","w","o","e","w","v","l"
"6246","p","f","b","?","w","p","o","e","w","v","d"
"3561","p","c","n","b","w","w","o","p","k","s","d"
"6036","p","s","b","?","w","p","o","e","w","v","p"
"6356","p","y","b","?","w","w","o","e","w","v","p"
"6320","p","y","b","?","p","w","o","e","w","v","l"
"5138","p","n","w","b","w","w","t","p","r","v","m"
"5921","p","f","g","b","b","p","o","l","h","v","p"
"6301","p","s","b","?","w","p","o","e","w","v","d"
"38","p","p","w","e","w","w","o","p","n","s","u"
"4566","p","f","h","b","n","n","o","l","h","v","g"
"5590","p","y","b","?","w","w","o","e","w","v","l"
"7296","p","n","y","c","y","y","o","e","w","c","l"
"7636","p","m","y","c","c","c","n","n","w","c","d"
"7242","p","y","b","?","w","p","o","e","w","v","p"
"7455","p","f","b","?","w","p","o","e","w","v","l"
"7048","p","s","b","?","w","p","o","e","w","v","d"
"6460","p","s","b","?","w","p","o","e","w","v","d"
"7018","p","y","b","?","w","p","o","e","w","v","p"
"4791","p","f","h","b","p","b","o","l","h","v","p"
"123","p","p","p","e","w","w","o","p","k","v","g"
"7429","p","y","b","?","p","p","o","e","w","v","d"
"4053","p","f","p","b","p","p","o","l","h","y","d"
"6358","p","y","b","?","p","w","o","e","w","v","p"
"5340","p","f","p","b","p","b","o","l","h","y","p"
"4131","p","f","g","b","b","b","o","l","h","v","g"
"6676","p","f","b","?","p","w","o","e","w","v","d"
"8093","p","y","b","?","p","p","o","e","w","v","p"
"1988","p","p","n","e","w","w","o","p","n","s","u"
"5115","p","f","w","b","w","w","o","p","h","v","g"
"4144","p","f","p","b","w","w","o","p","h","v","u"
"3972","p","f","p","b","b","b","o","l","h","y","p"
"7181","p","s","b","?","p","w","o","e","w","v","p"
"6225","p","f","b","?","p","p","o","e","w","v","p"
"6712","p","f","b","?","w","w","o","e","w","v","l"
"4533","p","f","p","b","n","p","o","l","h","y","g"
"6077","p","y","b","?","w","p","o","e","w","v","l"
"4262","p","f","g","b","p","p","o","l","h","y","p"
"7390","p","f","b","?","p","w","o","e","w","v","p"
"5289","p","f","g","b","n","b","o","l","h","y","p"
"1638","p","p","n","e","w","w","o","p","k","v","g"
"7821","p","m","w","c","c","c","n","n","w","c","d"
"5858","p","f","g","b","n","b","o","l","h","y","d"
"6618","p","s","b","?","w","p","o","e","w","v","l"
"7025","p","y","b","?","w","p","o","e","w","v","p"
"4231","p","f","h","b","n","b","o","l","h","y","d"
"3899","p","c","p","b","w","w","o","p","n","v","d"
"54","p","p","k","e","w","w","o","p","n","v","u"
"5604","p","s","b","?","p","w","o","e","w","v","d"
"6957","p","s","b","?","w","w","o","e","w","v","l"
"6672","p","y","b","?","p","p","o","e","w","v","l"
"7415","p","f","b","?","w","p","o","e","w","v","d"
"4300","p","f","g","b","b","n","o","l","h","y","g"
"5628","p","f","g","b","b","b","o","l","h","v","p"
"4808","p","f","p","b","n","n","o","l","h","v","p"
"3904","p","f","p","b","p","b","o","l","h","v","g"
"4712","p","f","h","b","p","b","o","l","h","y","g"
"3687","p","f","g","b","p","p","o","l","h","v","g"
"7323","p","f","b","?","p","p","o","e","w","v","l"
"8067","p","f","b","?","w","w","o","e","w","v","p"
"4403","p","f","h","b","p","b","o","l","h","v","g"
"3890","p","f","h","b","n","b","o","l","h","v","d"
"2062","p","p","n","e","w","w","o","p","n","v","g"
"4353","p","f","g","b","n","n","o","l","h","v","p"
"6303","p","f","b","?","p","p","o","e","w","v","l"
"5288","p","y","b","?","p","w","o","e","w","v","d"
"6768","p","s","b","?","w","w","o","e","w","v","l"
"7481","p","m","y","c","c","c","n","n","w","c","d"
"7949","p","y","b","?","p","p","o","e","w","v","l"
"6748","p","s","b","?","p","p","o","e","w","v","p"
"4218","p","f","h","b","n","n","o","l","h","y","g"
"5028","p","f","h","b","n","b","o","l","h","v","p"
"7709","p","f","b","?","w","p","o","e","w","v","d"
"6761","p","y","b","?","p","p","o","e","w","v","d"
"3754","p","c","g","b","w","w","o","p","n","s","d"
"6079","p","s","b","?","w","w","o","e","w","v","p"
"4372","p","f","h","b","p","p","o","l","h","v","d"
"6647","p","y","b","?","p","p","o","e","w","v","p"
"1668","p","p","w","e","w","w","o","p","k","s","u"
"1205","p","p","n","e","w","w","o","p","n","s","g"
"4866","p","f","p","b","w","w","o","p","h","v","g"
"6122","p","y","b","?","w","p","o","e","w","v","p"
"5612","p","f","h","b","n","p","o","l","h","y","g"
"3809","p","f","g","b","b","p","o","l","h","y","g"
"5246","p","y","b","?","w","w","o","e","w","v","p"
"7757","p","f","b","?","p","w","o","e","w","v","p"
"222","p","p","k","e","w","w","o","p","k","s","g"
"3927","p","f","p","b","b","b","o","l","h","y","g"
"7225","p","f","b","?","w","w","o","e","w","v","d"
"7765","p","s","b","?","p","w","o","e","w","v","p"
"6575","p","y","b","?","p","w","o","e","w","v","l"
"7756","p","s","b","?","w","p","o","e","w","v","d"
"3933","p","f","g","b","p","b","o","l","h","v","d"
"4133","p","f","p","b","b","b","o","l","h","v","d"
"7504","p","y","b","?","p","w","o","e","w","v","p"
"6967","p","f","b","?","p","p","o","e","w","v","d"
"6863","p","y","b","?","p","w","o","e","w","v","d"
"4193","p","f","h","b","b","b","o","l","h","y","p"
"6682","p","f","b","?","w","w","o","e","w","v","l"
"3793","p","c","u","b","w","w","o","p","k","s","d"
"7823","p","f","b","?","w","p","o","e","w","v","p"
"5819","p","f","p","b","w","w","o","p","h","s","g"
"7925","p","y","b","?","w","w","o","e","w","v","l"
"7280","p","y","b","?","p","p","o","e","w","v","d"
"4136","p","f","g","b","p","p","o","l","h","y","g"
"1684","p","p","n","e","w","w","o","p","k","v","g"
"6966","p","y","b","?","p","w","o","e","w","v","p"
"7214","p","f","b","?","p","p","o","e","w","v","l"
"4138","p","f","h","b","b","n","o","l","h","v","p"
"4933","p","f","g","b","p","n","o","l","h","v","p"
"5941","p","n","g","b","w","w","t","p","r","v","m"
"5298","p","s","b","?","p","w","o","e","w","v","l"
"6446","p","y","b","?","w","p","o","e","w","v","l"
"1726","p","p","k","e","w","w","o","p","k","v","g"
"4610","p","f","g","b","b","p","o","l","h","v","g"
"3947","p","f","g","b","n","p","o","l","h","v","d"
"5446","p","f","w","b","w","w","o","p","h","v","g"
"6329","p","f","b","?","p","w","o","e","w","v","l"
"4480","p","f","h","b","b","b","o","l","h","v","p"
"4660","p","f","g","b","b","n","o","l","h","v","p"
"4197","p","y","b","?","p","p","o","e","w","v","d"
"6380","p","s","b","?","w","w","o","e","w","v","l"
"6846","p","s","b","?","w","w","o","e","w","v","d"
"2888","p","c","n","b","w","w","o","p","k","v","d"
"6555","p","y","b","?","w","w","o","e","w","v","p"
"4560","p","f","p","b","n","b","o","l","h","v","g"
"4391","p","f","g","b","p","n","o","l","h","y","g"
"5316","p","f","p","b","p","b","o","l","h","v","g"
"6316","p","y","b","?","p","p","o","e","w","v","d"
"6414","p","s","b","?","p","p","o","e","w","v","l"
"1586","p","p","w","e","w","w","o","p","n","v","u"
"7856","p","s","b","?","p","p","o","e","w","v","l"
"5957","p","s","b","?","p","p","o","e","w","v","p"
"3874","p","f","h","b","n","p","o","l","h","v","d"
"3912","p","f","g","b","b","n","o","l","h","y","g"
"5172","p","f","h","b","w","w","o","p","h","v","g"
"3305","p","f","g","b","b","n","o","l","h","v","g"
"6678","p","y","b","?","p","p","o","e","w","v","p"
"7324","p","m","y","c","c","c","n","n","w","c","d"
"7263","p","f","b","?","p","p","o","e","w","v","d"
"3979","p","c","u","b","w","w","o","p","k","v","d"
"6051","p","s","b","?","p","w","o","e","w","v","p"
"5139","p","f","p","b","b","b","o","l","h","y","p"
"8059","p","s","b","?","w","p","o","e","w","v","l"
"5441","p","y","b","?","p","w","o","e","w","v","d"
"8005","p","f","b","?","w","p","o","e","w","v","p"
"6012","p","s","b","?","w","p","o","e","w","v","l"
"7933","p","s","b","?","p","w","o","e","w","v","p"
"7678","p","f","b","?","w","p","o","e","w","v","p"
"3263","p","c","p","b","w","w","o","p","n","v","d"
"4750","p","c","p","b","w","w","o","p","k","s","d"
"6197","p","s","b","?","p","w","o","e","w","v","d"
"5810","p","f","p","b","b","n","o","l","h","v","d"
"7478","p","s","b","?","w","p","o","e","w","v","d"
"1406","p","p","p","e","w","w","o","p","n","s","u"
"4551","p","f","p","b","p","n","o","l","h","y","p"
"4459","p","f","h","b","b","n","o","l","h","y","g"
"6098","p","y","b","?","w","p","o","e","w","v","p"
"6102","p","s","b","?","w","w","o","e","w","v","p"
"4164","p","f","p","b","p","n","o","l","h","v","d"
"6213","p","f","b","?","p","w","o","e","w","v","p"
"5936","p","n","w","?","w","n","o","e","w","v","d"
"3180","p","f","g","b","n","p","o","l","h","v","g"
"6873","p","y","b","?","w","p","o","e","w","v","d"
"1232","p","p","w","e","w","w","o","p","n","s","g"
"5615","p","s","b","?","w","p","o","e","w","v","l"
"8117","p","s","b","?","p","w","o","e","w","v","l"
"6955","p","f","b","?","p","p","o","e","w","v","p"
"6965","p","s","b","?","p","p","o","e","w","v","l"
"4153","p","f","p","b","p","p","o","l","h","v","g"
"6092","p","y","b","?","w","p","o","e","w","v","l"
"6390","p","s","b","?","p","w","o","e","w","v","p"
"6564","p","y","b","?","w","p","o","e","w","v","p"
"6591","p","y","b","?","w","p","o","e","w","v","l"
"7070","p","y","b","?","p","w","o","e","w","v","p"
"7284","p","f","b","?","p","w","o","e","w","v","p"
"4829","p","f","p","b","w","w","o","p","h","s","u"
"6061","p","f","b","?","w","p","o","e","w","v","l"
"1704","p","p","w","e","w","w","o","p","k","s","g"
"5469","p","f","p","b","w","w","o","p","h","v","u"
"580","p","p","w","e","w","w","o","p","n","s","g"
"6772","p","f","b","?","p","w","o","e","w","v","l"
"5551","p","f","h","b","w","w","o","p","h","s","u"
"4232","p","f","p","b","p","p","o","l","h","y","p"
"6281","p","s","b","?","p","w","o","e","w","v","p"
"7288","p","f","b","?","w","w","o","e","w","v","l"
"4464","p","f","g","b","n","n","o","l","h","y","p"
"4955","p","f","g","b","b","b","o","l","h","v","p"
"4050","p","f","p","b","p","b","o","l","h","v","d"
"2698","p","f","h","b","b","p","o","l","h","y","g"
"6423","p","f","b","?","w","w","o","e","w","v","l"
"7710","p","m","y","c","c","c","n","n","w","c","d"
"5814","p","f","p","b","n","n","o","l","h","v","g"
"4915","p","f","p","b","w","w","o","p","h","s","g"
"2444","p","f","h","b","b","b","o","l","h","y","g"
"4346","p","f","p","b","b","b","o","l","h","v","p"
"5584","p","y","b","?","p","w","o","e","w","v","p"
"6864","p","y","b","?","p","w","o","e","w","v","p"
"7224","p","s","b","?","w","p","o","e","w","v","p"
"4022","p","f","h","b","p","p","o","l","h","y","d"
"6945","p","s","b","?","w","p","o","e","w","v","l"
"7083","p","f","b","?","w","w","o","e","w","v","d"
"4206","p","f","p","b","b","b","o","l","h","y","d"
"6490","p","f","b","?","w","p","o","e","w","v","p"
"5060","p","f","h","b","b","p","o","l","h","v","p"
"3920","p","f","h","b","n","b","o","l","h","v","d"
"4023","p","f","p","b","p","b","o","l","h","y","p"
"1817","p","f","h","b","n","b","o","l","h","y","g"
"6085","p","y","b","?","w","p","o","e","w","v","l"
"4639","p","f","h","b","b","p","o","l","h","v","p"
"7003","p","s","b","?","w","w","o","e","w","v","p"
"3545","p","f","h","b","p","p","o","l","h","v","d"
"186","p","p","k","e","w","w","o","p","k","s","g"
"6313","p","f","b","?","p","w","o","e","w","v","l"
"5494","p","n","g","b","w","w","t","p","r","v","m"
"701","p","p","w","e","w","w","o","p","k","s","g"
"7262","p","f","b","?","p","w","o","e","w","v","p"
"5497","p","f","h","b","p","b","o","l","h","v","g"
"4288","p","f","g","b","b","p","o","l","h","y","p"
"6436","p","s","b","?","p","p","o","e","w","v","p"
"5973","p","n","g","b","w","w","t","p","r","v","m"
"4774","p","f","h","b","n","p","o","l","h","v","p"
"7145","p","f","b","?","w","w","o","e","w","v","d"
"4736","p","f","h","b","b","n","o","l","h","y","d"
"4538","p","f","g","b","p","b","o","l","h","v","g"
"4324","p","f","p","b","n","b","o","l","h","y","g"
"3265","p","f","h","b","p","n","o","l","h","y","p"
"3942","p","f","p","b","b","p","o","l","h","v","g"
"7857","p","y","b","?","w","p","o","e","w","v","p"
"7238","p","f","b","?","w","w","o","e","w","v","l"
"6823","p","y","b","?","w","p","o","e","w","v","l"
"4317","p","f","h","b","p","b","o","l","h","v","d"
"6020","p","y","b","?","p","p","o","e","w","v","p"
"5036","p","f","p","b","p","p","o","l","h","y","g"
"3493","p","f","h","b","n","p","o","l","h","v","g"
"1155","p","p","n","e","w","w","o","p","k","v","g"
"6097","p","f","b","?","w","w","o","e","w","v","p"
"6680","p","s","b","?","w","p","o","e","w","v","d"
"3684","p","c","u","b","w","w","o","p","k","s","d"
"7363","p","y","b","?","p","w","o","e","w","v","l"
"6902","p","y","b","?","w","p","o","e","w","v","p"
"3296","p","c","n","b","w","w","o","p","n","s","d"
"1167","p","p","k","e","w","w","o","p","k","v","g"
"7253","p","y","b","?","w","w","o","e","w","v","d"
"7572","p","y","b","?","w","w","o","e","w","v","l"
"5761","p","n","g","b","w","w","t","p","r","v","g"
"2386","p","f","h","b","n","n","o","l","h","y","d"
"4509","p","f","g","b","p","n","o","l","h","y","g"
"4213","p","f","p","b","n","n","o","l","h","v","g"
"4378","p","f","p","b","p","p","o","l","h","y","d"
"7210","p","y","b","?","p","p","o","e","w","v","l"
"6287","p","f","b","?","w","p","o","e","w","v","d"
"4422","p","f","p","b","p","b","o","l","h","y","d"
"5001","p","f","g","b","n","n","o","l","h","v","d"
"4236","p","f","h","b","n","n","o","l","h","y","p"
"4737","p","f","h","b","p","b","o","l","h","y","p"
"6769","p","y","b","?","p","w","o","e","w","v","l"
"7349","p","y","b","?","p","p","o","e","w","v","l"
"3480","p","f","h","b","p","p","o","l","h","v","p"
"4935","p","f","h","b","w","w","o","p","h","v","g"
"7078","p","y","b","?","p","p","o","e","w","v","l"
"5013","p","f","g","b","b","n","o","l","h","v","g"
"4298","p","f","p","b","n","b","o","l","h","y","p"
"6695","p","s","b","?","w","p","o","e","w","v","d"
"4892","p","f","h","b","b","b","o","l","h","v","p"
"7630","p","s","b","?","w","w","o","e","w","v","l"
"7640","p","s","b","?","p","w","o","e","w","v","d"
"4734","p","f","g","b","n","p","o","l","h","v","g"
"6486","p","y","b","?","w","w","o","e","w","v","p"
"1859","p","p","w","e","w","w","o","p","n","v","g"
"3063","p","f","g","b","b","b","o","l","h","v","p"
"5454","p","f","p","b","n","n","o","l","h","v","p"
"7852","p","f","b","?","p","w","o","e","w","v","d"
"6263","p","y","b","?","p","w","o","e","w","v","l"
"7599","p","f","b","?","w","p","o","e","w","v","p"
"7170","p","f","b","?","p","p","o","e","w","v","l"
"6723","p","s","b","?","w","w","o","e","w","v","l"
"4705","p","f","h","b","w","w","o","p","h","s","u"
"6482","p","y","b","?","p","w","o","e","w","v","p"
"6190","p","s","b","?","w","p","o","e","w","v","l"
"4779","p","f","p","b","n","p","o","l","h","v","d"
"4702","p","f","p","b","n","p","o","l","h","v","p"
"6874","p","y","b","?","p","w","o","e","w","v","d"
"5279","p","n","w","b","w","w","t","p","r","v","m"
"5304","p","f","g","b","p","b","o","l","h","v","p"
"6273","p","s","b","?","p","p","o","e","w","v","p"
"4822","p","f","g","b","b","n","o","l","h","v","d"
"6527","p","s","b","?","w","w","o","e","w","v","l"
"6363","p","f","b","?","w","p","o","e","w","v","l"
"7950","p","s","b","?","p","w","o","e","w","v","l"
"4842","p","f","h","b","w","w","o","p","h","v","g"
"5657","p","f","g","b","p","p","o","l","h","v","d"
"3739","p","c","p","b","w","w","o","p","k","s","d"
"5506","p","f","h","b","w","w","o","p","h","v","g"
"4091","p","f","p","b","b","n","o","l","h","v","d"
"7126","p","s","b","?","w","p","o","e","w","v","p"
"4438","p","f","g","b","b","n","o","l","h","v","g"
"7597","p","s","b","?","p","p","o","e","w","v","d"
"6237","p","f","b","?","p","p","o","e","w","v","d"
"4980","p","f","h","b","b","n","o","l","h","y","p"
"3883","p","c","n","b","w","w","o","p","k","v","d"
"4367","p","f","p","b","b","p","o","l","h","y","p"
"1004","p","p","w","e","w","w","o","p","k","v","g"
"3657","p","c","n","b","w","w","o","p","n","s","d"
"6399","p","f","b","?","w","p","o","e","w","v","l"
"3240","p","f","h","b","b","b","o","l","h","v","d"
"6819","p","f","b","?","w","p","o","e","w","v","l"
"6264","p","s","b","?","p","w","o","e","w","v","d"
"6072","p","f","b","?","p","w","o","e","w","v","d"
"4394","p","f","g","b","p","b","o","l","h","y","d"
"6684","p","f","b","?","w","w","o","e","w","v","l"
"6515","p","y","b","?","w","w","o","e","w","v","d"
"1492","p","p","p","e","w","w","o","p","n","s","u"
"5432","p","f","p","b","b","p","o","l","h","v","g"
"4360","p","f","p","b","n","p","o","l","h","y","d"
"1434","p","p","p","e","w","w","o","p","k","s","u"
"3654","p","f","p","b","p","b","o","l","h","v","p"
"7483","p","y","b","?","p","p","o","e","w","v","p"
"4472","p","f","g","b","p","p","o","l","h","y","p"
"5928","p","n","g","b","w","w","t","p","r","v","m"
"6719","p","y","b","?","p","w","o","e","w","v","p"
"4281","p","f","h","b","n","b","o","l","h","v","d"
"6265","p","y","b","?","p","p","o","e","w","v","d"
"5204","p","f","p","b","p","p","o","l","h","v","d"
"5466","p","y","b","?","p","p","o","e","w","v","p"
"7782","p","s","b","?","w","p","o","e","w","v","l"
"5269","p","f","h","b","w","w","o","p","h","v","u"
"6727","p","s","b","?","w","p","o","e","w","v","p"
"3558","p","c","p","b","w","w","o","p","n","v","d"
"8109","p","y","b","?","p","w","o","e","w","v","l"
"3623","p","f","h","b","p","n","o","l","h","v","p"
"6253","p","f","b","?","w","w","o","e","w","v","d"
"7249","p","s","b","?","w","p","o","e","w","v","l"
"4537","p","f","g","b","n","p","o","l","h","y","p"
"1813","p","p","n","e","w","w","o","p","k","v","g"
"6651","p","s","b","?","p","w","o","e","w","v","p"
"5203","p","f","b","?","w","w","o","e","w","v","p"
"6834","p","f","b","?","p","w","o","e","w","v","l"
"7635","p","f","b","?","w","p","o","e","w","v","l"
"4592","p","f","g","b","b","p","o","l","h","v","g"
"4983","p","f","g","b","n","p","o","l","h","v","p"
"6532","p","f","b","?","p","w","o","e","w","v","d"
"5399","p","n","w","?","w","y","o","e","w","v","d"
"3700","p","c","g","b","w","w","o","p","n","v","d"
"3548","p","c","p","b","w","w","o","p","n","v","d"
"7173","p","s","b","?","p","p","o","e","w","v","l"
"5978","p","f","w","b","w","w","o","p","h","s","g"
"5131","p","f","h","b","w","w","o","p","h","s","u"
"4770","p","f","h","b","n","n","o","l","h","v","p"
"7334","p","y","b","?","p","p","o","e","w","v","d"
"5182","p","f","w","b","w","w","o","p","h","v","g"
"6605","p","s","b","?","p","w","o","e","w","v","l"
"6289","p","f","b","?","w","p","o","e","w","v","l"
"7927","p","s","b","?","p","p","o","e","w","v","d"
"3512","p","f","h","b","b","p","o","l","h","v","d"
"3970","p","c","g","b","w","w","o","p","k","v","d"
"5188","p","f","h","b","n","p","o","l","h","y","d"
"6706","p","y","b","?","p","p","o","e","w","v","d"
"8007","p","y","b","?","w","p","o","e","w","v","p"
"232","p","p","k","e","w","w","o","p","k","s","u"
"4541","p","f","h","b","b","b","o","l","h","y","g"
"6660","p","y","b","?","w","w","o","e","w","v","p"
"5861","p","f","b","?","p","w","o","e","w","v","l"
"6006","p","s","b","?","p","p","o","e","w","v","d"
"6756","p","s","b","?","p","p","o","e","w","v","d"
